district,date,month,visitors,year
Hyderabad,2016-02-01 00:00:00,February,29646,2016
Hyderabad,2017-02-01 00:00:00,February,18097,2017
Hyderabad,2018-02-01 00:00:00,February,30414,2018
Hyderabad,2019-02-01 00:00:00,February,25621,2019
Hyderabad,2016-01-01 00:00:00,January,15865,2016
Hyderabad,2017-01-01 00:00:00,January,19286,2017
Hyderabad,2018-01-01 00:00:00,January,35379,2018
Hyderabad,2019-01-01 00:00:00,January,35920,2019
Hyderabad,2016-07-01 00:00:00,July,17142,2016
Hyderabad,2017-07-01 00:00:00,July,18144,2017
Hyderabad,2018-07-01 00:00:00,July,17456,2018
Hyderabad,2019-07-01 00:00:00,July,27874,2019
Hyderabad,2016-06-01 00:00:00,June,10284,2016
Hyderabad,2017-06-01 00:00:00,June,12486,2017
Hyderabad,2018-06-01 00:00:00,June,24677,2018
Hyderabad,2019-06-01 00:00:00,June,20077,2019
Hyderabad,2016-03-01 00:00:00,March,13019,2016
Hyderabad,2017-03-01 00:00:00,March,13875,2017
Hyderabad,2018-03-01 00:00:00,March,27535,2018
Hyderabad,2019-03-01 00:00:00,March,21929,2019
Hyderabad,2016-05-01 00:00:00,May,8522,2016
Hyderabad,2017-05-01 00:00:00,May,12983,2017
Hyderabad,2018-05-01 00:00:00,May,21554,2018
Hyderabad,2019-05-01 00:00:00,May,17317,2019
Hyderabad,2016-11-01 00:00:00,November,8084,2016
Hyderabad,2017-11-01 00:00:00,November,29170,2017
Hyderabad,2018-11-01 00:00:00,November,23487,2018
Hyderabad,2019-11-01 00:00:00,November,32762,2019
Hyderabad,2016-10-01 00:00:00,October,12808,2016
Hyderabad,2017-10-01 00:00:00,October,26368,2017
Hyderabad,2018-10-01 00:00:00,October,30072,2018
Hyderabad,2019-10-01 00:00:00,October,28706,2019
Hyderabad,2016-09-01 00:00:00,September,9397,2016
Hyderabad,2017-09-01 00:00:00,September,27856,2017
Hyderabad,2018-09-01 00:00:00,September,22809,2018
Hyderabad,2019-09-01 00:00:00,September,34018,2019
Jagtial,2016-04-01 00:00:00,April,0,2016
Jagtial,2017-04-01 00:00:00,April,0,2017
Jagtial,2018-04-01 00:00:00,April,0,2018
Jagtial,2019-04-01 00:00:00,April,0,2019
Jagtial,2016-08-01 00:00:00,August,0,2016
Jagtial,2017-08-01 00:00:00,August,0,2017
Jagtial,2018-08-01 00:00:00,August,0,2018
Jagtial,2019-08-01 00:00:00,August,0,2019
Jagtial,2016-12-01 00:00:00,December,0,2016
Jagtial,2017-12-01 00:00:00,December,0,2017
Jagtial,2018-12-01 00:00:00,December,0,2018
Jagtial,2019-12-01 00:00:00,December,0,2019
Jagtial,2016-02-01 00:00:00,February,0,2016
Jagtial,2017-02-01 00:00:00,February,0,2017
Jagtial,2018-02-01 00:00:00,February,0,2018
Jagtial,2019-02-01 00:00:00,February,0,2019
Jagtial,2016-01-01 00:00:00,January,0,2016
Jagtial,2017-01-01 00:00:00,January,0,2017
Jagtial,2018-01-01 00:00:00,January,0,2018
Jagtial,2019-01-01 00:00:00,January,0,2019
Jagtial,2016-07-01 00:00:00,July,0,2016
Jagtial,2017-07-01 00:00:00,July,0,2017
Jagtial,2018-07-01 00:00:00,July,0,2018
Jagtial,2019-07-01 00:00:00,July,0,2019
Jagtial,2016-06-01 00:00:00,June,0,2016
Jagtial,2017-06-01 00:00:00,June,0,2017
Jagtial,2018-06-01 00:00:00,June,0,2018
Jagtial,2019-06-01 00:00:00,June,0,2019
Jagtial,2016-03-01 00:00:00,March,0,2016
Jagtial,2017-03-01 00:00:00,March,0,2017
Jagtial,2018-03-01 00:00:00,March,0,2018
Jagtial,2019-03-01 00:00:00,March,0,2019
Jagtial,2016-05-01 00:00:00,May,0,2016
Jagtial,2017-05-01 00:00:00,May,0,2017
Jagtial,2018-05-01 00:00:00,May,0,2018
Jagtial,2019-05-01 00:00:00,May,0,2019
Jagtial,2016-11-01 00:00:00,November,0,2016
Jagtial,2017-11-01 00:00:00,November,0,2017
Jagtial,2018-11-01 00:00:00,November,0,2018
Jagtial,2019-11-01 00:00:00,November,0,2019
Jagtial,2016-10-01 00:00:00,October,0,2016
Jagtial,2017-10-01 00:00:00,October,0,2017
Jagtial,2018-10-01 00:00:00,October,0,2018
Jagtial,2019-10-01 00:00:00,October,0,2019
Jagtial,2016-09-01 00:00:00,September,0,2016
Jagtial,2017-09-01 00:00:00,September,0,2017
Jagtial,2018-09-01 00:00:00,September,0,2018
Jagtial,2019-09-01 00:00:00,September,0,2019
Jangaon,2016-04-01 00:00:00,April,0,2016
Jangaon,2017-04-01 00:00:00,April,0,2017
Jangaon,2018-04-01 00:00:00,April,0,2018
Jangaon,2019-04-01 00:00:00,April,0,2019
Jangaon,2016-08-01 00:00:00,August,0,2016
Jangaon,2017-08-01 00:00:00,August,0,2017
Jangaon,2018-08-01 00:00:00,August,0,2018
Jangaon,2019-08-01 00:00:00,August,0,2019
Jangaon,2016-12-01 00:00:00,December,0,2016
Jangaon,2017-12-01 00:00:00,December,0,2017
Jangaon,2018-12-01 00:00:00,December,0,2018
Jangaon,2019-12-01 00:00:00,December,0,2019
Jangaon,2016-02-01 00:00:00,February,0,2016
Jangaon,2017-02-01 00:00:00,February,0,2017
Jangaon,2018-02-01 00:00:00,February,0,2018
Jangaon,2019-02-01 00:00:00,February,0,2019
Jangaon,2016-01-01 00:00:00,January,0,2016
Jangaon,2017-01-01 00:00:00,January,0,2017
Jangaon,2018-01-01 00:00:00,January,0,2018
Jangaon,2019-01-01 00:00:00,January,0,2019
Jangaon,2016-07-01 00:00:00,July,0,2016
Jangaon,2017-07-01 00:00:00,July,0,2017
Jangaon,2018-07-01 00:00:00,July,0,2018
Jangaon,2019-07-01 00:00:00,July,0,2019
Jangaon,2016-06-01 00:00:00,June,0,2016
Jangaon,2017-06-01 00:00:00,June,0,2017
Jangaon,2018-06-01 00:00:00,June,0,2018
Jangaon,2019-06-01 00:00:00,June,0,2019
Jangaon,2016-03-01 00:00:00,March,0,2016
Jangaon,2017-03-01 00:00:00,March,0,2017
Jangaon,2018-03-01 00:00:00,March,0,2018
Jangaon,2019-03-01 00:00:00,March,0,2019
Jangaon,2016-05-01 00:00:00,May,0,2016
Jangaon,2017-05-01 00:00:00,May,0,2017
Jangaon,2018-05-01 00:00:00,May,0,2018
Jangaon,2019-05-01 00:00:00,May,0,2019
Jangaon,2016-11-01 00:00:00,November,2,2016
Jangaon,2017-11-01 00:00:00,November,0,2017
Jangaon,2018-11-01 00:00:00,November,0,2018
Jangaon,2019-11-01 00:00:00,November,0,2019
Jangaon,2016-10-01 00:00:00,October,0,2016
Jangaon,2017-10-01 00:00:00,October,0,2017
Jangaon,2018-10-01 00:00:00,October,0,2018
Jangaon,2019-10-01 00:00:00,October,0,2019
Jangaon,2016-09-01 00:00:00,September,0,2016
Jangaon,2017-09-01 00:00:00,September,0,2017
Jangaon,2018-09-01 00:00:00,September,0,2018
Jangaon,2019-09-01 00:00:00,September,0,2019
Jayashankar Bhoopalpally,2016-04-01 00:00:00,April,0,2016
Jayashankar Bhoopalpally,2017-04-01 00:00:00,April,36,2017
Jayashankar Bhoopalpally,2018-04-01 00:00:00,April,45,2018
Jayashankar Bhoopalpally,2019-04-01 00:00:00,April,0,2019
Jayashankar Bhoopalpally,2016-08-01 00:00:00,August,0,2016
Jayashankar Bhoopalpally,2017-08-01 00:00:00,August,45,2017
Jayashankar Bhoopalpally,2018-08-01 00:00:00,August,35,2018
Jayashankar Bhoopalpally,2019-08-01 00:00:00,August,0,2019
Jayashankar Bhoopalpally,2016-12-01 00:00:00,December,40,2016
Jayashankar Bhoopalpally,2017-12-01 00:00:00,December,57,2017
Jayashankar Bhoopalpally,2018-12-01 00:00:00,December,44,2018
Jayashankar Bhoopalpally,2019-12-01 00:00:00,December,0,2019
Jayashankar Bhoopalpally,2016-02-01 00:00:00,February,0,2016
Jayashankar Bhoopalpally,2017-02-01 00:00:00,February,38,2017
Jayashankar Bhoopalpally,2018-02-01 00:00:00,February,60,2018
Jayashankar Bhoopalpally,2019-02-01 00:00:00,February,0,2019
Jayashankar Bhoopalpally,2016-01-01 00:00:00,January,0,2016
Jayashankar Bhoopalpally,2017-01-01 00:00:00,January,85,2017
Jayashankar Bhoopalpally,2018-01-01 00:00:00,January,50,2018
Jayashankar Bhoopalpally,2019-01-01 00:00:00,January,45,2019
Jayashankar Bhoopalpally,2016-07-01 00:00:00,July,0,2016
Jayashankar Bhoopalpally,2017-07-01 00:00:00,July,42,2017
Jayashankar Bhoopalpally,2018-07-01 00:00:00,July,40,2018
Jayashankar Bhoopalpally,2019-07-01 00:00:00,July,0,2019
Jayashankar Bhoopalpally,2016-06-01 00:00:00,June,0,2016
Jayashankar Bhoopalpally,2017-06-01 00:00:00,June,35,2017
Jayashankar Bhoopalpally,2018-06-01 00:00:00,June,35,2018
Jayashankar Bhoopalpally,2019-06-01 00:00:00,June,0,2019
Jayashankar Bhoopalpally,2016-03-01 00:00:00,March,0,2016
Jayashankar Bhoopalpally,2017-03-01 00:00:00,March,35,2017
Jayashankar Bhoopalpally,2018-03-01 00:00:00,March,70,2018
Jayashankar Bhoopalpally,2019-03-01 00:00:00,March,0,2019
Jayashankar Bhoopalpally,2016-05-01 00:00:00,May,0,2016
Jayashankar Bhoopalpally,2017-05-01 00:00:00,May,40,2017
Jayashankar Bhoopalpally,2018-05-01 00:00:00,May,40,2018
Jayashankar Bhoopalpally,2019-05-01 00:00:00,May,0,2019
Jayashankar Bhoopalpally,2016-11-01 00:00:00,November,22,2016
Jayashankar Bhoopalpally,2017-11-01 00:00:00,November,58,2017
Jayashankar Bhoopalpally,2018-11-01 00:00:00,November,40,2018
Jayashankar Bhoopalpally,2019-11-01 00:00:00,November,0,2019
Jayashankar Bhoopalpally,2016-10-01 00:00:00,October,24,2016
Jayashankar Bhoopalpally,2017-10-01 00:00:00,October,55,2017
Jayashankar Bhoopalpally,2018-10-01 00:00:00,October,40,2018
Jayashankar Bhoopalpally,2019-10-01 00:00:00,October,0,2019
Jayashankar Bhoopalpally,2016-09-01 00:00:00,September,0,2016
Jayashankar Bhoopalpally,2017-09-01 00:00:00,September,56,2017
Jayashankar Bhoopalpally,2018-09-01 00:00:00,September,40,2018
Jayashankar Bhoopalpally,2019-09-01 00:00:00,September,0,2019
Jogulamba Gadwal,2016-04-01 00:00:00,April,0,2016
Jogulamba Gadwal,2017-04-01 00:00:00,April,29,2017
Jogulamba Gadwal,2018-04-01 00:00:00,April,15,2018
Jogulamba Gadwal,2019-04-01 00:00:00,April,16,2019
Jogulamba Gadwal,2016-08-01 00:00:00,August,0,2016
Jogulamba Gadwal,2017-08-01 00:00:00,August,25,2017
Jogulamba Gadwal,2018-08-01 00:00:00,August,42,2018
Jogulamba Gadwal,2019-08-01 00:00:00,August,42,2019
Jogulamba Gadwal,2016-12-01 00:00:00,December,11,2016
Jogulamba Gadwal,2017-12-01 00:00:00,December,10,2017
Jogulamba Gadwal,2018-12-01 00:00:00,December,11,2018
Jogulamba Gadwal,2019-12-01 00:00:00,December,11,2019
Jogulamba Gadwal,2016-02-01 00:00:00,February,0,2016
Jogulamba Gadwal,2017-02-01 00:00:00,February,16,2017
Jogulamba Gadwal,2018-02-01 00:00:00,February,6,2018
